customerID,gender,Partner,Dependents,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,Churn,tenure_quartile_Q1,tenure_quartile_Q2,tenure_quartile_Q3,tenure_quartile_Q4,SeniorCitizen,tenure,MonthlyCharges,TotalCharges,contract_flexibility_risk,is_long_term_customer,total_services,high_data_user,support_adoption,monthly_spending_trend,charge_consistency,senior_internet_risk,month_to_month_new_customer,long_tenure_low_engagement,contract_spend_risk
7590-VHVEG,Female,Yes,No,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,No,True,False,False,False,0,1,29.85,29.85,1,0,1,0,1,14.925,0.0,0,1,0,0
5575-GNVDE,Male,No,No,Yes,No,DSL,Yes,No,Yes,No,No,No,One year,No,Mailed check,No,False,False,True,False,0,34,56.95,1889.5,0,1,3,0,1,1.6271428571428572,46.80000000000018,0,0,0,0
3668-QPYBK,Male,No,No,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,Yes,True,False,False,False,0,2,53.85,108.15,1,0,3,0,1,17.95,0.45000000000000284,0,1,0,0
7795-CFOCW,Male,No,No,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,One year,No,Bank transfer (automatic),No,False,False,True,False,0,45,42.3,1840.75,0,1,3,0,2,0.9195652173913043,62.74999999999977,0,0,0,0
9237-HQITU,Female,No,No,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,Yes,True,False,False,False,0,2,70.7,151.65,1,0,1,1,0,23.566666666666666,10.25,0,1,0,1
9305-CDSKC,Female,No,No,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,Yes,True,False,False,False,0,8,99.65,820.5,1,0,5,1,1,11.072222222222223,23.299999999999955,0,0,0,1
1452-KIOVK,Male,No,Yes,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),No,False,True,False,False,0,22,89.1,1949.4,1,0,4,1,1,3.8739130434782605,10.799999999999727,0,0,0,1
6713-OKOMC,Female,No,No,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,No,False,True,False,False,0,10,29.75,301.9,1,0,1,0,0,2.7045454545454546,4.399999999999977,0,0,0,0
7892-POOKP,Female,Yes,No,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,Yes,False,True,False,False,0,28,104.8,3046.05,1,1,6,1,2,3.613793103448276,111.65000000000009,0,0,0,1
6388-TABGU,Male,No,Yes,Yes,No,DSL,Yes,Yes,No,No,No,No,One year,No,Bank transfer (automatic),No,False,False,False,True,0,62,56.15,3487.95,0,1,3,0,1,0.8912698412698412,6.650000000000091,0,0,0,0
9763-GRSKD,Male,Yes,Yes,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,No,False,True,False,False,0,13,49.95,587.45,1,0,2,0,0,3.567857142857143,61.89999999999998,0,0,0,0
7469-LKBCI,Male,No,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),No,False,True,False,False,0,16,18.95,326.8,0,0,1,0,0,1.1147058823529412,23.600000000000023,0,0,0,0
8091-TTVAX,Male,Yes,No,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,No,Credit card (automatic),No,False,False,False,True,0,58,100.35,5681.1,0,1,5,1,1,1.7008474576271186,139.1999999999989,0,0,0,0
0280-XJGEX,Male,No,No,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),Yes,False,False,True,False,0,49,103.7,5036.3,1,1,6,1,2,2.074,45.0,0,0,0,1
5129-JLPIS,Male,No,No,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,No,False,True,False,False,0,25,105.5,2686.05,1,1,6,1,2,4.0576923076923075,48.55000000000018,0,0,0,1
3655-SNQYZ,Female,Yes,Yes,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),No,False,False,False,True,0,69,113.25,7895.15,0,1,8,1,3,1.6178571428571429,80.89999999999964,0,0,0,0
8191-XWSZG,Female,No,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,No,False,False,True,False,0,52,20.65,1022.95,0,1,1,0,0,0.38962264150943393,50.84999999999991,0,0,1,0
9959-WOFKT,Male,No,Yes,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),No,False,False,False,True,0,71,106.7,7382.25,0,1,6,1,1,1.4819444444444445,193.44999999999982,0,0,0,0
4190-MFLUW,Female,Yes,Yes,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),Yes,False,True,False,False,0,10,55.2,528.35,1,0,3,0,2,5.0181818181818185,23.649999999999977,0,0,0,0
4183-MYFRB,Female,No,No,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,No,False,True,False,False,0,21,90.05,1862.9,1,0,4,1,2,4.093181818181818,28.149999999999864,0,0,0,1
8779-QRDMV,Male,No,No,No,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,Yes,True,False,False,False,1,1,39.65,39.65,1,0,2,0,1,19.825,0.0,0,1,0,0
1680-VDCWW,Male,Yes,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),No,False,True,False,False,0,12,19.8,202.25,0,0,1,0,0,1.5230769230769232,35.35000000000002,0,0,0,0
